N,FF_error
1,1.8397803016618401
2,1.5282362018723314
3,1.0617599976618433
4,0.3324498916250928
5,0.29347411648459204
6,0.23833608864900563
7,0.21133654887896622
8,0.19776086805133228
9,0.1834749184867544
